Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.999952316238705,0.9999523285658237,0.999952316238705,0.9999523161430673
Random Forest,0.999952316238705,0.9999523285658237,0.999952316238705,0.9999523161430673
AdaBoost,0.9999427794864459,0.9999427944018742,0.9999427794864459,0.9999427793706248
XGBoost,0.999952316238705,0.9999523285658237,0.999952316238705,0.9999523161430673
LightGBM,0.999952316238705,0.9999523285658237,0.999952316238705,0.9999523161430673
